Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2008/1/7,0.270004,-1.529998,1.640015,-7.179931,19.75,44.509766,33.680176,-124.59961,504.421875,-14549.37988,141.809998
2008/1/8,-2.990006,0.270004,-25.459961,-63.119873,-230.69043,-17.109864,-5.27002,-39.800293,-619.470704,14364.70996,142.080002
2008/1/9,0.589997,-2.990006,16.530029,8.270019,142.900391,9.140137,-40.120117,-33.199707,578.929688,181.610352,139.089996
2008/1/10,1.100006,0.589997,13.130005,19.73999,117.629882,-70.049805,-81.659668,-5.600097,9.089844,-126.890625,139.679993
2008/1/11,0.380005,1.100006,-17,-0.98999,-236.959961,-52.660156,-24.910156,-114,-416.378907,0,140.779999
2008/1/14,-1.370011,0.380005,8.969971,-21.830078,163.719727,44.540039,22.060059,1,-290.201171,0,141.160004
2008/1/15,-2.429992,-1.370011,-34.469971,-58.47998,-300.69043,-174.149902,-178.120118,-38,-1597.820313,-338.179687,139.789993
2008/1/16,0.449997,-2.429992,-2.619995,15.179931,-9.759765,62.069824,-31.629882,-125.700196,-426.029297,-200.350586,137.360001
2008/1/17,-3.069993,0.449997,-40.890015,-40.179931,-307.109375,-118.72998,-87.300293,-74.899902,-457.910156,-18.879883,137.809998
2008/1/18,-7.530006,-3.069993,-20.960083,-144.360108,-67.220703,-614.77002,-826.159668,-233.899902,-1622.880859,-452.269531,134.740005
2008/1/22,-0.120003,-7.530006,-2.529907,5.570069,-123.639649,405.209961,220.419922,-304.899903,734.910156,-368.920899,127.209999
2008/1/23,7.39,-0.120003,29.719971,102.090087,303.610352,-133.009766,-261.700196,216.699707,1037.65039,196.19043,127.089996
2008/1/24,2.029999,7.39,17.189941,73.939942,119.009765,184.57959,334.050293,150.700196,404.611329,306.269531,134.479996
2008/1/25,-3.25,2.029999,-26.619995,-77.949951,-185.990234,-210.069824,-134.870117,0,-459.070313,224.070313,136.509995
2008/1/28,2.840011,-3.25,25.23999,35.579834,179.480469,101.879883,85.310059,0,297.708984,-236.149414,133.259995
2008/1/29,-0.520004,2.840011,6.28003,-14.069825,94.949218,18.350097,52.319824,-107.199707,-34.949218,253.829101,136.100006
2008/1/30,-2.180008,-0.520004,-10.239991,-29.25,-41.859375,-48.359863,-30.040039,-124.100097,-815.429688,-273.039062,135.580002
2008/1/31,4.540008,-2.180008,26.619996,75.469971,199.889649,72.419922,39.310058,60.600097,2.199219,290.259765,133.399994
2008/2/1,1.270005,4.540008,16.780029,20.839844,104.94043,91.469727,122.450196,176.5,1093.150391,124.859375,137.940002
2008/2/4,-3.270005,1.270005,-15.099976,-68.609863,-111.260743,-57.169922,-19.899903,27.5,-174.970704,163.570313,139.210007
2008/2/5,-1.36,-3.270005,-40.800049,-17.630127,-374.599609,-240.679688,-272.200195,-91.100097,-1251.949218,-257.639649,135.940002
2008/2/6,-2.779999,-1.36,-15.46997,-67.559815,-61.049805,63.149903,102.529785,-154.300293,0,-471.280273,134.580002
2008/2/7,1.289993,-2.779999,12.869995,30.879883,52.269532,-27.700196,-51.529785,3.200195,0,65.830078,131.800003
2008/2/8,0.01001,1.289993,-4.959961,20.25,-66.580079,-111.709961,-53.569824,49.200195,0,0,133.089996
2008/2/11,1.809998,0.01001,8.630005,22.560059,59.669922,75.629883,69.5,-111.800293,-450.960937,0,133.100006
2008/2/12,1.099991,1.809998,12.569946,13.909912,126.560547,63.040039,120.739746,63.700196,376.310547,164.080078,134.910004
2008/2/13,0.940002,1.099991,14.209961,29,183.389649,132.150391,110.359863,-43.899903,563.419922,91.639649,136.009995
2008/2/14,-2.449997,0.940002,-19.809936,-55.639893,-174.84961,-66.479981,-57.819824,89.09961,-382.039063,253.940429,136.949997
2008/2/15,2.220001,-2.449997,8.339965,28.399902,-27.070312,-12.970214,-19.069824,-69.399903,529.189453,253.229493,134.5
2008/2/19,-2.729996,2.220001,-7.46997,-56.159912,-16.280274,-16.160157,-14.660156,37.200196,224.660157,-32.009766,136.720001
2008/2/20,2.669999,-2.729996,13.819946,51.26001,93.540039,25.740235,-4.680176,-95.700196,-307.679688,-267.030273,133.990005
2008/2/21,-1.690003,2.669999,-17.98999,-37.469971,-145.759765,-35.370118,-38.84961,58.300293,-723.740234,67.470703,136.660004
2008/2/22,0.569992,-1.690003,8.530029,-3.200195,99.679687,59.160157,-38.570312,-0.600097,312.199218,82.11914,134.970001
2008/2/25,1.210007,0.569992,19.01001,11.01001,188.710938,77.819824,55.510254,51.100097,18.669922,424.580078,135.539993
2008/2/26,0.809998,1.210007,7.189941,14.73999,114.05957,34.919922,101.259765,54.299805,596.419922,-29.569335,136.75
2008/2/27,-0.319993,0.809998,-0.789917,13.400147,5.740234,-51.479981,-22.270019,75.299805,212.710938,-129.44043,137.559998
2008/2/28,-1.639999,-0.319993,-14.090088,-33.5,-109.700195,-102.140136,-137.52002,-93.59961,-147.070313,-142.439453,137.240005
